type,passmark,finalmark,subject,subject_author,subject_code,teachers
1,24,60,ISSUES IN PAKISTAN ECONOMY,N/A,ECO-408,78
1,24,60,ENTREPRENEURSHIP,N/A,MGT-601,80
1,24,60,QUALITY MANAGEMENT SYSTEMS,N/A,MGT-603,26
1,24,60,REWARD & COMPEMSATION MANAGEMENT (SPECIALIZATION-I HRM ),N/A,MGT-616,71
1,24,60,CONFLICT & NIGOSIATION MANAGEMENT(SPECIALIZATION-II HRM),N/A,MGT-617,80
1,24,60,Brand Management (SPECIALIZATION-I Marketing),N/A,MKT-611,46
1,24,60,ADVERTISING MANAGEMENT  (SPECIALIZATION-IIMarketing),N/A,MKT-615,80
